,date,round_nr,throw_nr,dart_nr,prefix,score,value
178,2021-05-10,2,27,2,S,12,12
179,2021-05-10,2,27,3,S,20,20
180,2021-05-10,2,28,1,S,20,20
181,2021-05-10,2,28,2,D,5,10
182,2021-05-10,2,28,3,S,20,20
183,2021-05-10,2,29,1,S,20,20
184,2021-05-10,2,29,2,S,20,20
185,2021-05-10,2,29,3,S,20,20
186,2021-05-10,2,30,1,D,20,40
187,2021-05-10,2,30,2,S,5,5
188,2021-05-10,2,30,3,T,20,60
189,2021-05-10,2,31,1,T,20,60
190,2021-05-10,2,31,2,T,20,60
191,2021-05-10,2,31,3,S,20,20
192,2021-05-10,2,32,1,S,5,5
193,2021-05-10,2,32,2,S,20,20
194,2021-05-10,2,32,3,S,20,20
195,2021-05-10,2,33,1,S,20,20
196,2021-05-10,2,33,2,T,1,3
197,2021-05-10,2,33,3,S,5,5
198,2021-05-10,3,1,1,S,3,3
199,2021-05-10,3,1,2,S,19,19
200,2021-05-10,3,1,3,S,19,19
201,2021-05-10,3,2,1,S,5,5
202,2021-05-10,3,2,2,S,1,1
203,2021-05-10,3,2,3,T,1,3
204,2021-05-10,3,3,1,S,20,20
205,2021-05-10,3,3,2,S,1,1
206,2021-05-10,3,3,3,S,20,20
207,2021-05-10,3,4,1,S,1,1
208,2021-05-10,3,4,2,S,18,18
209,2021-05-10,3,4,3,S,5,5
210,2021-05-10,3,5,1,S,1,1
211,2021-05-10,3,5,2,S,5,5
212,2021-05-10,3,5,3,S,5,5
213,2021-05-10,3,6,1,S,20,20
214,2021-05-10,3,6,2,D,20,40
215,2021-05-10,3,6,3,D,20,40
216,2021-05-10,3,7,1,T,5,15
217,2021-05-10,3,7,2,S,20,20
218,2021-05-10,3,7,3,S,20,20
219,2021-05-10,3,8,1,T,3,9
220,2021-05-10,3,8,2,S,19,19
221,2021-05-10,3,8,3,T,19,57
222,2021-05-10,3,9,1,D,1,2
223,2021-05-10,3,9,2,S,20,20
224,2021-05-10,3,9,3,T,5,15
225,2021-05-10,3,10,1,S,1,1
226,2021-05-10,3,10,2,T,20,60
227,2021-05-10,3,10,3,S,12,12
228,2021-05-10,3,11,1,D,1,2
229,2021-05-10,3,11,2,S,20,20
230,2021-05-10,3,11,3,D,5,10
231,2021-05-10,3,12,1,S,3,3
232,2021-05-10,3,12,2,S,3,3
233,2021-05-10,3,12,3,S,19,19
234,2021-05-10,3,13,1,T,1,3
235,2021-05-10,3,13,2,S,1,1
236,2021-05-10,3,13,3,S,20,20
237,2021-05-10,3,14,1,D,20,40
238,2021-05-10,3,14,2,S,5,5
239,2021-05-10,3,14,3,T,20,60
240,2021-05-10,3,15,1,S,1,1
241,2021-05-10,3,15,2,S,5,5
242,2021-05-10,3,15,3,T,1,3
243,2021-05-10,3,16,1,T,7,21
244,2021-05-10,3,16,2,S,19,19
245,2021-05-10,3,16,3,S,3,3
246,2021-05-10,3,17,1,T,5,15
247,2021-05-10,3,17,2,S,20,20
248,2021-05-10,3,17,3,S,20,20
249,2021-05-10,3,18,1,T,19,57
250,2021-05-10,3,18,2,S,7,7
251,2021-05-10,3,18,3,S,3,3
252,2021-05-10,3,19,1,S,20,20
253,2021-05-10,3,19,2,T,20,60
254,2021-05-10,3,19,3,T,5,15
255,2021-05-10,3,20,1,S,20,20
256,2021-05-10,3,20,2,S,18,18
257,2021-05-10,3,20,3,S,5,5
258,2021-05-10,3,21,1,S,20,20
259,2021-05-10,3,21,2,S,20,20
260,2021-05-10,3,21,3,D,20,40
261,2021-05-10,3,22,1,T,5,15
262,2021-05-10,3,22,2,S,5,5
263,2021-05-10,3,22,3,S,20,20
264,2021-05-10,3,23,1,T,1,3
265,2021-05-10,3,23,2,S,20,20
266,2021-05-10,3,23,3,T,1,3
267,2021-05-10,3,24,1,S,19,19
268,2021-05-10,3,24,2,T,7,21
269,2021-05-10,3,24,3,S,19,19
270,2021-05-10,3,25,1,S,20,20
271,2021-05-10,3,25,2,S,20,20
272,2021-05-10,3,25,3,T,5,15
273,2021-05-10,3,26,1,D,3,6
274,2021-05-10,3,26,2,T,3,9
275,2021-05-10,3,26,3,S,19,19
276,2021-05-10,3,27,1,S,20,20
277,2021-05-10,3,27,2,S,5,5
278,2021-05-10,3,27,3,S,20,20
279,2021-05-10,3,28,1,S,20,20
280,2021-05-10,3,28,2,S,1,1
281,2021-05-10,3,28,3,S,20,20
282,2021-05-10,3,29,1,D,20,40
283,2021-05-10,3,29,2,S,5,5
284,2021-05-10,3,29,3,S,20,20
285,2021-05-10,3,30,1,T,20,60
286,2021-05-10,3,30,2,S,1,1
287,2021-05-10,3,30,3,T,20,60
288,2021-05-10,3,31,1,S,20,20
289,2021-05-10,3,31,2,T,5,15
290,2021-05-10,3,31,3,T,5,15
291,2021-05-10,3,32,1,S,12,12
292,2021-05-10,3,32,2,S,18,18
293,2021-05-10,3,32,3,S,20,20
294,2021-05-10,3,33,1,D,5,10
295,2021-05-10,3,33,2,S,1,1
296,2021-05-10,3,33,3,S,20,20
297,2021-05-21,1,1,1,S,20,20
298,2021-05-21,1,1,2,S,20,20
299,2021-05-21,1,1,3,S,20,20
300,2021-05-21,1,2,1,S,20,20
301,2021-05-21,1,2,2,S,1,1
302,2021-05-21,1,2,3,S,5,5
303,2021-05-21,1,3,1,S,7,7
304,2021-05-21,1,3,2,S,19,19
305,2021-05-21,1,3,3,S,19,19
306,2021-05-21,1,4,1,T,20,60
307,2021-05-21,1,4,2,S,1,1
308,2021-05-21,1,4,3,S,5,5
309,2021-05-21,1,5,1,S,5,5
310,2021-05-21,1,5,2,D,5,10
311,2021-05-21,1,5,3,T,1,3
312,2021-05-21,1,6,1,S,20,20
313,2021-05-21,1,6,2,S,5,5
314,2021-05-21,1,6,3,S,5,5
315,2021-05-21,1,7,1,S,20,20
316,2021-05-21,1,7,2,S,5,5
317,2021-05-21,1,7,3,S,5,5
318,2021-05-21,1,8,1,S,12,12
319,2021-05-21,1,8,2,S,20,20
320,2021-05-21,1,8,3,T,20,60
321,2021-05-21,1,9,1,T,5,15
322,2021-05-21,1,9,2,T,1,3
323,2021-05-21,1,9,3,S,5,5
324,2021-05-21,1,10,1,T,20,60
325,2021-05-21,1,10,2,D,20,40
326,2021-05-21,1,10,3,S,20,20
327,2021-05-21,1,11,1,S,5,5
328,2021-05-21,1,11,2,S,20,20
329,2021-05-21,1,11,3,S,20,20
330,2021-05-21,1,12,1,S,19,19
331,2021-05-21,1,12,2,S,19,19
332,2021-05-21,1,12,3,S,19,19
333,2021-05-21,1,13,1,T,1,3
334,2021-05-21,1,13,2,S,20,20
335,2021-05-21,1,13,3,T,1,3
336,2021-05-21,1,14,1,S,20,20
337,2021-05-21,1,14,2,S,20,20
338,2021-05-21,1,14,3,S,20,20
339,2021-05-21,1,15,1,S,7,7
340,2021-05-21,1,15,2,S,7,7
341,2021-05-21,1,15,3,S,3,3
342,2021-05-21,1,16,1,D,20,40
343,2021-05-21,1,16,2,S,1,1
344,2021-05-21,1,16,3,D,20,40
345,2021-05-21,1,17,1,T,20,60
346,2021-05-21,1,17,2,S,20,20
347,2021-05-21,1,17,3,T,20,60
348,2021-05-21,1,18,1,S,20,20
349,2021-05-21,1,18,2,T,20,60
350,2021-05-21,1,18,3,T,20,60
351,2021-05-21,1,19,1,T,19,57
352,2021-05-21,1,19,2,T,19,57
353,2021-05-21,1,19,3,S,7,7
354,2021-05-21,1,20,1,S,19,19
355,2021-05-21,1,20,2,T,19,57
356,2021-05-21,1,20,3,D,19,38
357,2021-05-21,1,21,1,S,20,20
358,2021-05-21,1,21,2,T,1,3
359,2021-05-21,1,21,3,S,5,5
360,2021-05-21,1,22,1,S,1,1
361,2021-05-21,1,22,2,S,18,18
362,2021-05-21,1,22,3,T,20,60
363,2021-05-21,1,23,1,S,20,20
364,2021-05-21,1,23,2,T,5,15
365,2021-05-21,1,23,3,S,1,1
366,2021-05-21,1,24,1,D,19,38
367,2021-05-21,1,24,2,S,19,19
368,2021-05-21,1,24,3,S,19,19
369,2021-05-21,1,25,1,S,20,20
370,2021-05-21,1,25,2,D,20,40
371,2021-05-21,1,25,3,S,20,20
372,2021-05-21,1,26,1,D,7,14
373,2021-05-21,1,26,2,S,19,19
374,2021-05-21,1,26,3,S,19,19
375,2021-05-21,1,27,1,S,20,20
376,2021-05-21,1,27,2,S,5,5
377,2021-05-21,1,27,3,S,20,20
378,2021-05-21,1,28,1,T,20,60
379,2021-05-21,1,28,2,S,20,20
380,2021-05-21,1,28,3,S,5,5
381,2021-05-21,1,29,1,S,7,7
382,2021-05-21,1,29,2,T,19,57
383,2021-05-21,1,29,3,S,19,19
384,2021-05-21,1,30,1,S,19,19
385,2021-05-21,1,30,2,S,7,7
386,2021-05-21,1,30,3,S,19,19
387,2021-05-21,1,31,1,S,18,18
388,2021-05-21,1,31,2,S,20,20
389,2021-05-21,1,31,3,D,20,40
390,2021-05-21,1,32,1,S,1,1
391,2021-05-21,1,32,2,D,20,40
392,2021-05-21,1,32,3,S,20,20
393,2021-05-21,1,33,1,S,1,1
394,2021-05-21,1,33,2,S,20,20
395,2021-05-21,1,33,3,S,20,20
396,2021-05-23,1,1,1,T,19,57
397,2021-05-23,1,1,2,D,7,14
398,2021-05-23,1,1,3,S,19,19
399,2021-05-23,1,2,1,D,1,2
400,2021-05-23,1,2,2,T,20,60
401,2021-05-23,1,2,3,T,20,60
402,2021-05-23,1,3,1,T,5,15
403,2021-05-23,1,3,2,T,20,60
404,2021-05-23,1,3,3,T,1,3
405,2021-05-23,1,4,1,S,20,20
406,2021-05-23,1,4,2,S,20,20
407,2021-05-23,1,4,3,T,5,15
408,2021-05-23,1,5,1,D,20,40
409,2021-05-23,1,5,2,S,1,1
410,2021-05-23,1,5,3,S,20,20
411,2021-05-23,1,6,1,S,5,5
412,2021-05-23,1,6,2,S,1,1
413,2021-05-23,1,6,3,S,5,5
414,2021-05-23,1,7,1,D,19,38
415,2021-05-23,1,7,2,S,19,19
416,2021-05-23,1,7,3,S,7,7
417,2021-05-23,1,8,1,S,1,1
418,2021-05-23,1,8,2,S,1,1
419,2021-05-23,1,8,3,D,20,40
420,2021-05-23,1,9,1,T,20,60
421,2021-05-23,1,9,2,S,5,5
422,2021-05-23,1,9,3,S,20,20
423,2021-05-23,1,10,1,S,19,19
424,2021-05-23,1,10,2,S,3,3
425,2021-05-23,1,10,3,T,7,21
426,2021-05-23,1,11,1,S,1,1
427,2021-05-23,1,11,2,T,20,60
428,2021-05-23,1,11,3,S,1,1
429,2021-05-23,1,12,1,S,20,20
430,2021-05-23,1,12,2,S,20,20
431,2021-05-23,1,12,3,D,5,10
432,2021-05-23,1,13,1,S,19,19
433,2021-05-23,1,13,2,S,19,19
434,2021-05-23,1,13,3,S,16,16
435,2021-05-23,1,14,1,S,5,5
436,2021-05-23,1,14,2,S,12,12
